,CIK,Company Name,Form Type,Date Filed,Filename,URL
0,1000228,HENRY SCHEIN INC,10-K,2015-02-11,edgar/data/1000228/0001000228-15-000007.txt,https://www.sec.gov/Archives/edgar/data/1000228/000100022815000007/the10k_2014.htm
1,1000697,WATERS CORP /DE/,10-K,2015-02-27,edgar/data/1000697/0001193125-15-067900.txt,https://www.sec.gov/Archives/edgar/data/1000697/000119312515067900/d849246d10k.htm
2,1001082,DISH Network CORP,10-K,2015-02-23,edgar/data/1001082/0001104659-15-012777.txt,https://www.sec.gov/Archives/edgar/data/1001082/000110465915012777/a14-26838_110k.htm
3,1002910,AMEREN CORP,10-K,2015-03-02,edgar/data/1002910/0001002910-15-000075.txt,https://www.sec.gov/Archives/edgar/data/1002910/000100291015000075/aee201410-k.htm
4,100517,"United Continental Holdings, Inc.",10-K,2015-02-20,edgar/data/100517/0001193125-15-056493.txt,https://www.sec.gov/Archives/edgar/data/100517/000119312515056493/d820060d10k.htm
5,100885,UNION PACIFIC CORP,10-K,2015-02-06,edgar/data/100885/0001193125-15-037518.txt,https://www.sec.gov/Archives/edgar/data/100885/000119312515037518/d865355d10k.htm
6,1012100,SEALED AIR CORP/DE,10-K,2015-02-27,edgar/data/1012100/0001564590-15-001072.txt,https://www.sec.gov/Archives/edgar/data/1012100/000156459015001072/see-10k_20141231.htm
7,1013462,ANSYS INC,10-K,2015-02-26,edgar/data/1013462/0001013462-15-000004.txt,https://www.sec.gov/Archives/edgar/data/1013462/000101346215000004/anss2014123110k.htm
8,1013871,"NRG ENERGY, INC.",10-K,2015-02-27,edgar/data/1013871/0001013871-15-000004.txt,https://www.sec.gov/Archives/edgar/data/1013871/000101387115000004/a201410-k.htm
9,1014473,VERISIGN INC/CA,10-K,2015-02-13,edgar/data/1014473/0001014473-15-000011.txt,https://www.sec.gov/Archives/edgar/data/1014473/000101447315000011/vrsn-20141231x10k.htm
10,101778,MARATHON OIL CORP,10-K,2015-03-02,edgar/data/101778/0000101778-15-000007.txt,https://www.sec.gov/Archives/edgar/data/101778/000010177815000007/mro-20141231x10k.htm
11,101829,UNITED TECHNOLOGIES CORP /DE/,10-K,2015-02-05,edgar/data/101829/0000101829-15-000005.txt,https://www.sec.gov/Archives/edgar/data/101829/000010182915000005/a2014-12x31form10xk.htm
12,1018724,AMAZON COM INC,10-K,2015-01-30,edgar/data/1018724/0001018724-15-000006.txt,https://www.sec.gov/Archives/edgar/data/1018724/000101872415000006/amzn-20141231x10k.htm
13,1020569,IRON MOUNTAIN INC,10-K,2015-02-27,edgar/data/1020569/0001047469-15-001413.txt,https://www.sec.gov/Archives/edgar/data/1020569/000104746915001413/a2223186z10-k.htm
14,1021860,NATIONAL OILWELL VARCO INC,10-K,2015-02-17,edgar/data/1021860/0000950123-15-003051.txt,https://www.sec.gov/Archives/edgar/data/1021860/000095012315003051/d859582d10k.htm
15,1022079,QUEST DIAGNOSTICS INC,10-K,2015-02-24,edgar/data/1022079/0001022079-15-000034.txt,https://www.sec.gov/Archives/edgar/data/1022079/000102207915000034/dgx1231201410-k.htm
16,1031296,FIRSTENERGY CORP,10-K,2015-02-17,edgar/data/1031296/0001031296-15-000011.txt,https://www.sec.gov/Archives/edgar/data/1031296/000103129615000011/fe-12312014x10k.htm
17,1032208,SEMPRA ENERGY,10-K,2015-02-26,edgar/data/1032208/0000086521-15-000011.txt,https://www.sec.gov/Archives/edgar/data/1032208/000008652115000011/sre10k02262015.htm
18,103379,V F CORP,10-K,2015-03-03,edgar/data/103379/0001193125-15-075174.txt,https://www.sec.gov/Archives/edgar/data/103379/000119312515075174/d838659d10k.htm
19,1034054,SBA COMMUNICATIONS CORP,10-K,2015-03-02,edgar/data/1034054/0001034054-15-000004.txt,https://www.sec.gov/Archives/edgar/data/1034054/000103405415000004/sbac-20141231x10k.htm
20,1035002,VALERO ENERGY CORP/TX,10-K,2015-02-26,edgar/data/1035002/0001035002-15-000009.txt,https://www.sec.gov/Archives/edgar/data/1035002/000103500215000009/vloform10-kx12312014.htm
21,1035267,INTUITIVE SURGICAL INC,10-K,2015-02-06,edgar/data/1035267/0001035267-15-000014.txt,https://www.sec.gov/Archives/edgar/data/1035267/000103526715000014/isrg-20141231x10k.htm
22,1035443,ALEXANDRIA REAL ESTATE EQUITIES INC,10-K,2015-02-24,edgar/data/1035443/0001035443-15-000018.txt,https://www.sec.gov/Archives/edgar/data/1035443/000103544315000018/a4q14-10xk.htm
23,1037540,BOSTON PROPERTIES INC,10-K,2015-03-02,edgar/data/1037540/0001193125-15-073115.txt,https://www.sec.gov/Archives/edgar/data/1037540/000119312515073115/d846762d10k.htm
24,1037646,METTLER TOLEDO INTERNATIONAL INC/,10-K,2015-02-06,edgar/data/1037646/0001037646-15-000008.txt,https://www.sec.gov/Archives/edgar/data/1037646/000103764615000008/mtd_10kx12312014.htm
25,1037868,AMETEK INC/,10-K,2015-02-24,edgar/data/1037868/0001193125-15-059832.txt,https://www.sec.gov/Archives/edgar/data/1037868/000119312515059832/d843717d10k.htm
26,1038357,PIONEER NATURAL RESOURCES CO,10-K,2015-02-19,edgar/data/1038357/0001038357-15-000010.txt,https://www.sec.gov/Archives/edgar/data/1038357/000103835715000010/pxd-20141231x10k.htm
27,1039684,ONEOK INC /NEW/,10-K,2015-02-25,edgar/data/1039684/0001039684-15-000017.txt,https://www.sec.gov/Archives/edgar/data/1039684/000103968415000017/oke10-k2014.htm
28,1040971,SL GREEN REALTY CORP,10-K,2015-02-24,edgar/data/1040971/0001040971-15-000003.txt,https://www.sec.gov/Archives/edgar/data/1040971/000104097115000003/slg-20141231x10k.htm
29,1041061,YUM BRANDS INC,10-K,2015-02-17,edgar/data/1041061/0001041061-15-000007.txt,https://www.sec.gov/Archives/edgar/data/1041061/000104106115000007/yum10k12272014.htm
30,1043277,C H ROBINSON WORLDWIDE INC,10-K,2015-03-02,edgar/data/1043277/0001628280-15-001350.txt,https://www.sec.gov/Archives/edgar/data/1043277/000162828015001350/chrw-10k2014.htm
31,1043604,JUNIPER NETWORKS INC,10-K,2015-02-20,edgar/data/1043604/0001043604-15-000022.txt,https://www.sec.gov/Archives/edgar/data/1043604/000104360415000022/jnpr-10k20141231.htm
32,1045609,"Prologis, Inc.",10-K,2015-02-25,edgar/data/1045609/0001193125-15-062622.txt,https://www.sec.gov/Archives/edgar/data/1045609/000119312515062622/d834674d10k.htm
33,10456,BAXTER INTERNATIONAL INC,10-K,2015-02-26,edgar/data/10456/0001193125-15-065871.txt,https://www.sec.gov/Archives/edgar/data/10456/000119312515065871/d848964d10k.htm
34,1045810,NVIDIA CORP,10-K,2015-03-12,edgar/data/1045810/0001045810-15-000036.txt,https://www.sec.gov/Archives/edgar/data/1045810/000104581015000036/nvda-2015x10k.htm
35,1047862,CONSOLIDATED EDISON INC,10-K,2015-02-19,edgar/data/1047862/0001193125-15-054350.txt,https://www.sec.gov/Archives/edgar/data/1047862/000119312515054350/d821872d10k.htm
36,1048286,MARRIOTT INTERNATIONAL INC /MD/,10-K,2015-02-19,edgar/data/1048286/0001628280-15-000842.txt,https://www.sec.gov/Archives/edgar/data/1048286/000162828015000842/mar-q42014x10k.htm
37,1050915,QUANTA SERVICES INC,10-K,2015-03-02,edgar/data/1050915/0001193125-15-073003.txt,https://www.sec.gov/Archives/edgar/data/1050915/000119312515073003/d834546d10k.htm
38,1051470,CROWN CASTLE INTERNATIONAL CORP,10-K,2015-02-19,edgar/data/1051470/0001051470-15-000034.txt,https://www.sec.gov/Archives/edgar/data/1051470/000105147015000034/cci10-k123114.htm
39,1053507,AMERICAN TOWER CORP /MA/,10-K,2015-02-24,edgar/data/1053507/0001193125-15-059026.txt,https://www.sec.gov/Archives/edgar/data/1053507/000119312515059026/d846752d10k.htm
40,105770,WEST PHARMACEUTICAL SERVICES INC,10-K,2015-02-25,edgar/data/105770/0000105770-15-000007.txt,https://www.sec.gov/Archives/edgar/data/105770/000010577015000007/wst10k123114.htm
41,1058090,CHIPOTLE MEXICAN GRILL INC,10-K,2015-02-04,edgar/data/1058090/0001193125-15-033771.txt,https://www.sec.gov/Archives/edgar/data/1058090/000119312515033771/d861905d10k.htm
42,1058290,COGNIZANT TECHNOLOGY SOLUTIONS CORP,10-K,2015-02-27,edgar/data/1058290/0001058290-15-000006.txt,https://www.sec.gov/Archives/edgar/data/1058290/000105829015000006/ctsh20141231-10k.htm
43,1059556,MOODYS CORP /DE/,10-K,2015-02-26,edgar/data/1059556/0001193125-15-063352.txt,https://www.sec.gov/Archives/edgar/data/1059556/000119312515063352/d846365d10k.htm
44,1060391,"REPUBLIC SERVICES, INC.",10-K,2015-02-23,edgar/data/1060391/0001060391-15-000010.txt,https://www.sec.gov/Archives/edgar/data/1060391/000106039115000010/rsg-2014x1231x10xk.htm
45,1063761,SIMON PROPERTY GROUP INC /DE/,10-K,2015-02-27,edgar/data/1063761/0001047469-15-001339.txt,https://www.sec.gov/Archives/edgar/data/1063761/000104746915001339/a2222982z10-k.htm
46,1065088,EBAY INC,10-K,2015-02-06,edgar/data/1065088/0001065088-15-000054.txt,https://www.sec.gov/Archives/edgar/data/1065088/000106508815000054/ebay201410-k.htm
47,1065280,NETFLIX INC,10-K,2015-01-29,edgar/data/1065280/0001065280-15-000006.txt,https://www.sec.gov/Archives/edgar/data/1065280/000106528015000006/nflx201410k.htm
48,106535,WEYERHAEUSER CO,10-K,2015-02-13,edgar/data/106535/0000106535-15-000006.txt,https://www.sec.gov/Archives/edgar/data/106535/000010653515000006/wy-123114x10k.htm
49,1065696,LKQ CORP,10-K,2015-03-02,edgar/data/1065696/0001065696-15-000007.txt,https://www.sec.gov/Archives/edgar/data/1065696/000106569615000007/lkq-20141231_10k.htm
50,106640,WHIRLPOOL CORP /DE/,10-K,2015-02-26,edgar/data/106640/0000106640-15-000014.txt,https://www.sec.gov/Archives/edgar/data/106640/000010664015000014/whr-1231201410xk.htm
51,1067701,UNITED RENTALS INC /DE,10-K,2015-01-21,edgar/data/1067701/0001067701-15-000006.txt,https://www.sec.gov/Archives/edgar/data/1067701/000106770115000006/uri-2014123110k.htm
52,1067983,BERKSHIRE HATHAWAY INC,10-K,2015-03-02,edgar/data/1067983/0001193125-15-070966.txt,https://www.sec.gov/Archives/edgar/data/1067983/000119312515070966/d820461d10k.htm
53,1070750,"HOST HOTELS & RESORTS, INC.",10-K,2015-02-25,edgar/data/1070750/0001564590-15-000907.txt,https://www.sec.gov/Archives/edgar/data/1070750/000156459015000907/hst-10k_20141231.htm
54,1071739,CENTENE CORP,10-K,2015-02-23,edgar/data/1071739/0001071739-15-000034.txt,https://www.sec.gov/Archives/edgar/data/1071739/000107173915000034/form10k.htm
55,107263,WILLIAMS COMPANIES INC,10-K,2015-02-25,edgar/data/107263/0000107263-15-000003.txt,https://www.sec.gov/Archives/edgar/data/107263/000010726315000003/wmb_20141231x10k.htm
56,1075531,Priceline Group Inc.,10-K,2015-02-19,edgar/data/1075531/0001075531-15-000007.txt,https://www.sec.gov/Archives/edgar/data/1075531/000107553115000007/pcln-20141231_10k.htm
57,1086222,AKAMAI TECHNOLOGIES INC,10-K,2015-03-02,edgar/data/1086222/0001086222-15-000066.txt,https://www.sec.gov/Archives/edgar/data/1086222/000108622215000066/akam10k123114.htm
58,1090012,DEVON ENERGY CORP/DE,10-K,2015-02-20,edgar/data/1090012/0001193125-15-056497.txt,https://www.sec.gov/Archives/edgar/data/1090012/000119312515056497/d859923d10k.htm
59,1090727,UNITED PARCEL SERVICE INC,10-K,2015-02-27,edgar/data/1090727/0001090727-15-000008.txt,https://www.sec.gov/Archives/edgar/data/1090727/000109072715000008/ups-12312014x10k.htm
60,1091667,"CHARTER COMMUNICATIONS, INC. /MO/",10-K,2015-02-24,edgar/data/1091667/0001091667-15-000049.txt,https://www.sec.gov/Archives/edgar/data/1091667/000109166715000049/chtr123114-10k.htm
61,109198,TJX COMPANIES INC /DE/,10-K,2015-03-31,edgar/data/109198/0001193125-15-114276.txt,https://www.sec.gov/Archives/edgar/data/109198/000119312515114276/d855793d10k.htm
62,1093557,DEXCOM INC,10-K,2015-02-25,edgar/data/1093557/0001093557-15-000040.txt,https://www.sec.gov/Archives/edgar/data/1093557/000109355715000040/dxcm-12312014x10k.htm
63,109380,ZIONS BANCORPORATION /UT/,10-K,2015-02-27,edgar/data/109380/0000109380-15-000046.txt,https://www.sec.gov/Archives/edgar/data/109380/000010938015000046/zion-20141231x10k.htm
64,1094285,TELEDYNE TECHNOLOGIES INC,10-K,2015-02-26,edgar/data/1094285/0001094285-15-000037.txt,https://www.sec.gov/Archives/edgar/data/1094285/000109428515000037/tdy-20141228x10k.htm
65,1095073,EVEREST RE GROUP LTD,10-K,2015-03-02,edgar/data/1095073/0001095073-15-000007.txt,https://www.sec.gov/Archives/edgar/data/1095073/000109507315000007/group10k2014.htm
66,1097149,ALIGN TECHNOLOGY INC,10-K,2015-02-26,edgar/data/1097149/0001097149-15-000005.txt,https://www.sec.gov/Archives/edgar/data/1097149/000109714915000005/algn-20141231x10k.htm
67,1099219,METLIFE INC,10-K,2015-02-27,edgar/data/1099219/0000937834-15-000009.txt,https://www.sec.gov/Archives/edgar/data/1099219/000093783415000009/met-12312014x10k.htm
68,1099800,Edwards Lifesciences Corp,10-K,2015-02-20,edgar/data/1099800/0001047469-15-000998.txt,https://www.sec.gov/Archives/edgar/data/1099800/000104746915000998/a2223057z10-k.htm
69,1101239,EQUINIX INC,10-K,2015-03-02,edgar/data/1101239/0001193125-15-073042.txt,https://www.sec.gov/Archives/edgar/data/1101239/000119312515073042/d854432d10k.htm
70,1103982,"Mondelez International, Inc.",10-K,2015-02-20,edgar/data/1103982/0001193125-15-055355.txt,https://www.sec.gov/Archives/edgar/data/1103982/000119312515055355/d840894d10k.htm
71,1108524,SALESFORCE COM INC,10-K,2015-03-06,edgar/data/1108524/0001108524-15-000008.txt,https://www.sec.gov/Archives/edgar/data/1108524/000110852415000008/crm-2015131x10k.htm
72,1109357,EXELON CORP,10-K,2015-02-13,edgar/data/1109357/0001193125-15-049964.txt,https://www.sec.gov/Archives/edgar/data/1109357/000119312515049964/d858551d10k.htm
73,1110803,ILLUMINA INC,10-K,2015-02-18,edgar/data/1110803/0001110803-15-000064.txt,https://www.sec.gov/Archives/edgar/data/1110803/000111080315000064/fy1410-k.htm
74,1111711,NISOURCE INC/DE,10-K,2015-02-18,edgar/data/1111711/0001111711-15-000008.txt,https://www.sec.gov/Archives/edgar/data/1111711/000111171115000008/ni-20141231x10k.htm
75,1111928,IPG PHOTONICS CORP,10-K,2015-03-02,edgar/data/1111928/0001111928-15-000040.txt,https://www.sec.gov/Archives/edgar/data/1111928/000111192815000040/ipgp-20141231x10k.htm
76,1113169,PRICE T ROWE GROUP INC,10-K,2015-02-05,edgar/data/1113169/0001113169-15-000007.txt,https://www.sec.gov/Archives/edgar/data/1113169/000111316915000007/a201410k.htm
77,1120193,"NASDAQ OMX GROUP, INC.",10-K,2015-02-17,edgar/data/1120193/0001120193-15-000003.txt,https://www.sec.gov/Archives/edgar/data/1120193/000112019315000003/ndaq-20141231x10k.htm
78,1121788,GARMIN LTD,10-K,2015-02-18,edgar/data/1121788/0001144204-15-010586.txt,https://www.sec.gov/Archives/edgar/data/1121788/000114420415010586/v400231_10k.htm
79,1126328,PRINCIPAL FINANCIAL GROUP INC,10-K,2015-02-11,edgar/data/1126328/0001047469-15-000727.txt,https://www.sec.gov/Archives/edgar/data/1126328/000104746915000727/a2222934z10-k.htm
80,1130310,CENTERPOINT ENERGY INC,10-K,2015-02-26,edgar/data/1130310/0001130310-15-000008.txt,https://www.sec.gov/Archives/edgar/data/1130310/000113031015000008/cnp_10kx12312014.htm
81,1133421,NORTHROP GRUMMAN CORP /DE/,10-K,2015-02-02,edgar/data/1133421/0001133421-15-000008.txt,https://www.sec.gov/Archives/edgar/data/1133421/000113342115000008/noc-12312014x10k.htm
82,1136869,ZIMMER HOLDINGS INC,10-K,2015-02-23,edgar/data/1136869/0001193125-15-058361.txt,https://www.sec.gov/Archives/edgar/data/1136869/000119312515058361/d842425d10k.htm
83,1136893,"Fidelity National Information Services, Inc.",10-K,2015-02-27,edgar/data/1136893/0001136893-15-000006.txt,https://www.sec.gov/Archives/edgar/data/1136893/000113689315000006/a10-k2014.htm
84,1137774,PRUDENTIAL FINANCIAL INC,10-K,2015-02-20,edgar/data/1137774/0001193125-15-056366.txt,https://www.sec.gov/Archives/edgar/data/1137774/000119312515056366/d864090d10k.htm
85,1138118,"CBRE GROUP, INC.",10-K,2015-03-02,edgar/data/1138118/0001193125-15-073030.txt,https://www.sec.gov/Archives/edgar/data/1138118/000119312515073030/d837146d10k.htm
86,1140536,WILLIS GROUP HOLDINGS PLC,10-K,2015-02-24,edgar/data/1140536/0001140536-15-000003.txt,https://www.sec.gov/Archives/edgar/data/1140536/000114053615000003/willisgroup10-k2014.htm
87,1141391,MASTERCARD INC,10-K,2015-02-13,edgar/data/1141391/0001141391-15-000011.txt,https://www.sec.gov/Archives/edgar/data/1141391/000114139115000011/ma12312014-10xk.htm
88,11544,BERKLEY W R CORP,10-K,2015-02-27,edgar/data/11544/0000011544-15-000010.txt,https://www.sec.gov/Archives/edgar/data/11544/000001154415000010/wrb1231201410k.htm
89,1156039,"Anthem, Inc.",10-K,2015-02-24,edgar/data/1156039/0001156039-15-000003.txt,https://www.sec.gov/Archives/edgar/data/1156039/000115603915000003/antm-20141231x10k.htm
90,1156375,CME GROUP INC.,10-K,2015-02-26,edgar/data/1156375/0001156375-15-000014.txt,https://www.sec.gov/Archives/edgar/data/1156375/000115637515000014/cme-2014123110k.htm
