,sustainability,sustainable,renewable,climate change,green energy,carbon neutral,greening,clean energy,esg,greenhouse gas,recycle,circular economy,zero emissions,environmentally friendly,URL
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1000228/000100022815000007/the10k_2014.htm
1,2,0,0,6,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1000697/000119312515067900/d849246d10k.htm
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1001082/000110465915012777/a14-26838_110k.htm
3,0,0,43,0,0,0,0,0,0,10,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1002910/000100291015000075/aee201410-k.htm
4,0,2,0,6,0,0,0,0,0,4,0,0,0,0,https://www.sec.gov/Archives/edgar/data/100517/000119312515056493/d820060d10k.htm
5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/100885/000119312515037518/d865355d10k.htm
6,7,7,3,2,0,0,0,0,0,1,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1012100/000156459015001072/see-10k_20141231.htm
7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1013462/000101346215000004/anss2014123110k.htm
8,4,10,46,2,0,0,0,4,0,1,0,0,0,1,https://www.sec.gov/Archives/edgar/data/1013871/000101387115000004/a201410-k.htm
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1014473/000101447315000011/vrsn-20141231x10k.htm
10,0,1,0,4,0,0,0,0,0,8,0,0,0,0,https://www.sec.gov/Archives/edgar/data/101778/000010177815000007/mro-20141231x10k.htm
11,0,1,0,4,0,0,0,0,0,3,0,0,0,0,https://www.sec.gov/Archives/edgar/data/101829/000010182915000005/a2014-12x31form10xk.htm
12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1018724/000101872415000006/amzn-20141231x10k.htm
13,1,0,0,0,0,0,0,0,3,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1020569/000104746915001413/a2223186z10-k.htm
14,0,1,0,4,0,0,0,0,0,1,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1021860/000095012315003051/d859582d10k.htm
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1022079/000102207915000034/dgx1231201410-k.htm
16,0,1,26,19,0,0,0,0,0,1,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1031296/000103129615000011/fe-12312014x10k.htm
17,0,0,30,1,0,0,0,1,0,5,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1032208/000008652115000011/sre10k02262015.htm
18,4,3,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/103379/000119312515075174/d838659d10k.htm
19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1034054/000103405415000004/sbac-20141231x10k.htm
20,0,0,4,3,0,0,0,0,0,5,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1035002/000103500215000009/vloform10-kx12312014.htm
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1035267/000103526715000014/isrg-20141231x10k.htm
22,1,0,0,6,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1035443/000103544315000018/a4q14-10xk.htm
23,10,4,1,5,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1037540/000119312515073115/d846762d10k.htm
24,3,1,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1037646/000103764615000008/mtd_10kx12312014.htm
25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1037868/000119312515059832/d843717d10k.htm
26,0,0,0,5,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1038357/000103835715000010/pxd-20141231x10k.htm
27,0,1,0,10,0,0,0,0,0,2,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1039684/000103968415000017/oke10-k2014.htm
28,0,0,0,5,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1040971/000104097115000003/slg-20141231x10k.htm
29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1041061/000104106115000007/yum10k12272014.htm
30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1043277/000162828015001350/chrw-10k2014.htm
31,0,2,1,0,0,0,0,0,0,1,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1043604/000104360415000022/jnpr-10k20141231.htm
32,0,1,1,4,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1045609/000119312515062622/d834674d10k.htm
33,2,2,0,1,0,0,0,0,0,1,0,0,0,0,https://www.sec.gov/Archives/edgar/data/10456/000119312515065871/d848964d10k.htm
34,0,0,0,2,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1045810/000104581015000036/nvda-2015x10k.htm
35,4,1,43,10,0,0,0,6,0,2,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1047862/000119312515054350/d821872d10k.htm
36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1048286/000162828015000842/mar-q42014x10k.htm
37,0,0,43,7,0,0,0,1,0,5,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1050915/000119312515073003/d834546d10k.htm
38,0,0,2,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1051470/000105147015000034/cci10-k123114.htm
39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1053507/000119312515059026/d846752d10k.htm
40,0,0,0,2,0,0,0,0,0,1,0,0,0,0,https://www.sec.gov/Archives/edgar/data/105770/000010577015000007/wst10k123114.htm
41,7,3,0,1,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1058090/000119312515033771/d861905d10k.htm
42,1,1,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1058290/000105829015000006/ctsh20141231-10k.htm
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1059556/000119312515063352/d846365d10k.htm
44,5,3,9,8,0,0,0,0,0,13,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1060391/000106039115000010/rsg-2014x1231x10xk.htm
45,3,1,0,0,0,0,0,0,0,1,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1063761/000104746915001339/a2222982z10-k.htm
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1065088/000106508815000054/ebay201410-k.htm
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1065280/000106528015000006/nflx201410k.htm
48,4,10,3,5,1,0,0,0,0,19,0,0,0,0,https://www.sec.gov/Archives/edgar/data/106535/000010653515000006/wy-123114x10k.htm
49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,https://www.sec.gov/Archives/edgar/data/1065696/000106569615000007/lkq-20141231_10k.htm
50,0,2,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/106640/000010664015000014/whr-1231201410xk.htm
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1067701/000106770115000006/uri-2014123110k.htm
52,0,2,11,5,0,0,0,1,0,11,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1067983/000119312515070966/d820461d10k.htm
53,3,1,0,1,0,0,0,0,0,0,1,0,0,0,https://www.sec.gov/Archives/edgar/data/1070750/000156459015000907/hst-10k_20141231.htm
54,0,0,27,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1071739/000107173915000034/form10k.htm
55,0,0,1,7,0,0,0,0,0,2,0,0,0,0,https://www.sec.gov/Archives/edgar/data/107263/000010726315000003/wmb_20141231x10k.htm
56,0,2,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1075531/000107553115000007/pcln-20141231_10k.htm
57,0,1,0,4,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1086222/000108622215000066/akam10k123114.htm
58,0,0,0,2,0,0,0,0,0,3,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1090012/000119312515056497/d859923d10k.htm
59,18,1,0,3,0,0,0,0,0,1,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1090727/000109072715000008/ups-12312014x10k.htm
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1091667/000109166715000049/chtr123114-10k.htm
61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/109198/000119312515114276/d855793d10k.htm
62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1093557/000109355715000040/dxcm-12312014x10k.htm
63,0,5,1,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/109380/000010938015000046/zion-20141231x10k.htm
64,0,0,0,4,0,0,0,0,0,1,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1094285/000109428515000037/tdy-20141228x10k.htm
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1095073/000109507315000007/group10k2014.htm
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1097149/000109714915000005/algn-20141231x10k.htm
